iter	Passed	Remaining
0	59	59887
1	117	58550
2	175	58355
3	248	61821
4	328	65419
5	388	64404
6	446	63317
7	507	62959
8	568	62585
9	628	62243
10	693	62327
11	748	61652
12	808	61382
13	863	60831
14	928	60985
15	985	60600
16	1039	60088
17	1095	59792
18	1155	59666
19	1217	59657
20	1329	61960
21	1408	62609
22	1488	63220
23	1555	63268
24	1616	63045
25	1678	62873
26	1736	62569
27	1795	62317
28	1858	62224
29	1916	61977
30	1977	61825
31	2033	61516
32	2086	61148
33	2144	60915
34	2203	60744
35	2263	60621
36	2326	60543
37	2394	60606
38	2474	60966
39	2572	61741
40	2657	62158
41	2792	63689
42	2880	64098
43	3067	66654
44	3137	66584
45	3208	66545
46	3276	66430
47	3339	66231
48	3409	66171
49	3473	65996
50	3539	65859
51	3611	65833
52	3690	65946
53	3767	65996
54	3846	66095
55	3918	66048
56	3990	66022
57	4061	65961
58	4134	65943
59	4204	65872
60	4275	65820
61	4339	65654
62	4405	65527
63	4468	65351
64	4533	65211
65	4593	65000
66	4650	64757
67	4709	64545
68	4767	64327
69	4825	64114
70	4882	63889
71	4941	63692
72	5002	63520
73	5062	63348
74	5122	63174
75	5179	62976
76	5236	62764
77	5295	62594
78	5354	62420
79	5419	62318
80	5478	62153
81	5539	62012
82	5594	61811
83	5653	61649
84	5709	61457
85	5767	61298
86	5821	61095
87	5881	60957
88	5939	60795
89	6021	60884
90	6089	60824
91	6151	60717
92	6226	60723
93	6298	60707
94	6356	60556
95	6421	60464
96	6480	60325
97	6542	60213
98	6600	60067
99	6658	59924
100	6714	59763
101	6773	59635
102	6832	59504
103	6892	59379
104	6949	59235
105	7008	59112
106	7064	58957
107	7119	58804
108	7179	58688
109	7234	58533
110	7294	58419
111	7354	58312
112	7417	58224
113	7478	58119
114	7535	57987
115	7597	57895
116	7658	57797
117	7717	57686
118	7774	57558
119	7832	57439
120	7889	57314
121	7947	57197
122	8006	57089
123	8062	56955
124	8119	56837
125	8177	56724
126	8235	56610
127	8293	56502
128	8375	56551
129	8448	56539
130	8520	56522
131	8589	56483
132	8662	56466
133	8727	56405
134	8789	56319
135	8846	56204
136	8903	56087
137	8959	55965
138	9014	55836
139	9073	55735
140	9129	55619
141	9190	55531
142	9249	55431
143	9307	55327
144	9375	55284
145	9436	55198
146	9502	55141
147	9564	55063
148	9621	54949
149	9683	54871
150	9751	54827
151	9813	54751
152	9872	54651
153	9937	54592
154	9994	54485
155	10050	54374
156	10107	54273
157	10165	54171
158	10225	54083
159	10286	54005
160	10345	53914
161	10404	53818
162	10465	53740
163	10526	53659
164	10586	53576
165	10643	53476
166	10716	53455
167	10790	53440
168	10858	53391
169	10936	53397
170	11006	53361
171	11064	53263
172	11121	53166
173	11183	53090
174	11242	52999
175	11298	52898
176	11357	52809
177	11416	52721
178	11484	52676
179	11546	52602
180	11607	52520
181	11669	52448
182	11723	52340
183	11788	52280
184	11844	52178
185	11906	52105
186	11981	52089
187	12037	51992
188	12096	51905
189	12151	51803
190	12209	51715
191	12267	51627
192	12325	51537
193	12387	51466
194	12447	51387
195	12505	51299
196	12569	51234
197	12630	51160
198	12686	51063
199	12747	50989
200	12805	50902
201	12861	50809
202	12918	50721
203	12975	50628
204	13032	50542
205	13113	50545
206	13183	50504
207	13257	50481
208	13332	50461
209	13405	50430
210	13466	50354
211	13526	50277
212	13585	50197
213	13645	50118
214	13708	50050
215	13765	49965
216	13825	49887
217	13883	49802
218	13941	49717
219	13998	49629
220	14057	49549
221	14114	49466
222	14171	49379
223	14230	49299
224	14292	49230
225	14351	49150
226	14410	49071
227	14475	49014
228	14534	48936
229	14602	48886
230	14656	48791
231	14725	48745
232	14788	48680
233	14849	48608
234	14911	48542
235	14975	48478
236	15031	48391
237	15092	48320
238	15150	48241
239	15212	48174
240	15272	48097
241	15331	48020
242	15394	47956
243	15467	47923
244	15538	47882
245	15611	47849
246	15691	47836
247	15767	47809
248	15835	47761
249	15898	47695
250	15957	47617
251	16018	47546
252	16076	47466
253	16140	47403
254	16196	47319
255	16256	47245
256	16317	47175
257	16378	47103
258	16442	47043
259	16500	46963
260	16559	46886
261	16615	46803
262	16686	46760
263	16769	46751
264	16841	46712
265	16923	46697
266	16999	46668
267	17074	46635
268	17139	46575
269	17205	46518
270	17263	46440
271	17318	46353
272	17387	46302
273	17452	46242
274	17509	46162
275	17574	46100
276	17646	46057
277	17706	45986
278	17832	46083
279	17907	46048
280	17974	45991
281	18053	45965
282	18117	45901
283	18179	45832
284	18236	45752
285	18296	45677
286	18359	45611
287	18419	45538
288	18478	45461
289	18538	45388
290	18596	45309
291	18656	45235
292	18720	45172
293	18776	45089
294	18843	45031
295	18897	44946
296	18960	44879
297	19017	44800
298	19077	44726
299	19144	44670
300	19202	44593
301	19264	44526
302	19327	44459
303	19387	44387
304	19444	44308
305	19507	44242
306	19568	44172
307	19622	44087
308	19684	44019
309	19741	43941
310	19808	43883
311	19862	43799
312	19927	43738
313	19990	43673
314	20046	43592
315	20101	43511
316	20163	43443
317	20246	43422
318	20316	43372
319	20392	43333
320	20467	43295
321	20536	43241
322	20598	43174
323	20659	43104
324	20722	43039
325	20783	42969
326	20844	42900
327	20903	42826
328	20966	42760
329	21025	42687
330	21083	42612
331	21140	42534
332	21203	42471
333	21261	42395
334	21323	42328
335	21388	42266
336	21442	42184
337	21501	42112
338	21559	42037
339	21621	41970
340	21679	41897
341	21742	41832
342	21802	41761
343	21862	41691
344	21920	41617
345	21980	41547
346	22036	41468
347	22097	41400
348	22157	41330
349	22213	41253
350	22273	41182
351	22349	41142
352	22410	41075
353	22464	40994
354	22522	40921
355	22604	40890
356	22672	40836
357	22747	40792
358	22827	40758
359	22890	40694
360	22957	40636
361	23012	40558
362	23075	40493
363	23134	40420
364	23190	40345
365	23251	40277
366	23306	40198
367	23369	40134
368	23432	40069
369	23490	39996
370	23556	39938
371	23633	39896
372	23699	39838
373	23760	39769
374	23819	39699
375	23880	39631
376	23945	39570
377	24008	39506
378	24068	39437
379	24129	39369
380	24188	39298
381	24250	39232
382	24310	39162
383	24370	39093
384	24430	39025
385	24491	38958
386	24552	38890
387	24613	38823
388	24672	38752
389	24731	38682
390	24787	38607
391	24846	38537
392	24903	38464
393	24973	38410
394	25058	38380
395	25135	38338
396	25212	38295
397	25280	38238
398	25351	38185
399	25415	38122
400	25473	38051
401	25532	37981
402	25592	37912
403	25653	37844
404	25719	37784
405	25779	37717
406	25840	37649
407	25900	37581
408	25958	37509
409	26020	37443
410	26078	37373
411	26136	37302
412	26198	37236
413	26267	37179
414	26326	37110
415	26387	37043
416	26444	36971
417	26505	36905
418	26565	36836
419	26627	36770
420	26682	36696
421	26739	36623
422	26800	36557
423	26861	36490
424	26924	36426
425	26984	36358
426	27043	36289
427	27106	36225
428	27163	36155
429	27223	36086
430	27283	36019
431	27345	35954
432	27408	35890
433	27493	35855
434	27563	35800
435	27637	35750
436	27710	35700
437	27777	35641
438	27838	35575
439	27899	35509
440	27962	35444
441	28020	35374
442	28073	35298
443	28135	35232
444	28191	35160
445	28258	35101
446	28322	35038
447	28384	34973
448	28445	34907
449	28504	34839
450	28593	34806
451	28655	34741
452	28718	34677
453	28778	34610
454	28839	34543
455	28897	34473
456	28959	34409
457	29018	34340
458	29078	34273
459	29139	34207
460	29205	34147
461	29264	34079
462	29322	34008
463	29383	33943
464	29437	33868
465	29497	33801
466	29560	33738
467	29629	33681
468	29712	33640
469	29777	33579
470	29853	33529
471	29927	33477
472	29986	33409
473	30051	33347
474	30108	33278
475	30169	33212
476	30227	33142
477	30290	33078
478	30353	33014
479	30423	32959
480	30487	32896
481	30547	32829
482	30604	32759
483	30665	32692
484	30723	32623
485	30781	32555
486	30842	32489
487	30902	32422
488	30959	32351
489	31017	32283
490	31078	32217
491	31137	32150
492	31203	32089
493	31259	32019
494	31320	31953
495	31382	31888
496	31444	31824
497	31506	31759
498	31561	31687
499	31625	31625
500	31689	31563
501	31750	31497
502	31809	31429
503	31869	31363
504	31930	31298
505	31995	31236
506	32078	31193
507	32155	31142
508	32228	31088
509	32306	31039
510	32373	30979
511	32437	30917
512	32495	30848
513	32556	30783
514	32613	30713
515	32675	30648
516	32731	30579
517	32792	30513
518	32847	30442
519	32908	30377
520	32969	30312
521	33029	30245
522	33095	30184
523	33154	30117
524	33223	30059
525	33285	29995
526	33344	29928
527	33412	29868
528	33470	29800
529	33529	29733
530	33585	29664
531	33642	29595
532	33702	29529
533	33761	29461
534	33821	29396
535	33882	29331
536	33941	29263
537	33998	29196
538	34064	29135
539	34125	29070
540	34189	29007
541	34247	28940
542	34308	28874
543	34370	28810
544	34447	28758
545	34522	28705
546	34593	28648
547	34673	28598
548	34739	28537
549	34798	28471
550	34851	28400
551	34911	28333
552	34969	28266
553	35031	28202
554	35092	28137
555	35150	28070
556	35211	28004
557	35266	27935
558	35327	27870
559	35384	27802
560	35444	27736
561	35502	27669
562	35561	27602
563	35619	27535
564	35684	27474
565	35755	27416
566	35816	27352
567	35875	27285
568	35933	27218
569	35993	27152
570	36048	27083
571	36111	27020
572	36169	26953
573	36232	26889
574	36286	26820
575	36343	26753
576	36405	26688
577	36472	26628
578	36535	26565
579	36593	26498
580	36651	26431
581	36714	26368
582	36807	26326
583	36881	26272
584	36957	26217
585	37032	26162
586	37099	26102
587	37164	26040
588	37232	25980
589	37292	25915
590	37347	25846
591	37415	25786
592	37482	25725
593	37543	25661
594	37605	25597
595	37665	25531
596	37726	25466
597	37788	25402
598	37848	25337
599	37913	25275
600	37974	25210
601	38040	25149
602	38101	25085
603	38161	25020
604	38216	24951
605	38279	24887
606	38338	24821
607	38396	24755
608	38459	24692
609	38515	24624
610	38573	24558
611	38636	24495
612	38701	24433
613	38762	24368
614	38822	24303
615	38880	24236
616	38942	24173
617	39009	24112
618	39069	24047
619	39154	23997
620	39231	23942
621	39299	23883
622	39376	23827
623	39442	23766
624	39496	23697
625	39559	23634
626	39618	23568
627	39677	23503
628	39736	23437
629	39801	23375
630	39859	23309
631	39916	23242
632	39975	23176
633	40034	23111
634	40092	23045
635	40152	22980
636	40212	22915
637	40275	22852
638	40332	22785
639	40393	22721
640	40455	22657
641	40520	22595
642	40581	22531
643	40640	22466
644	40700	22401
645	40761	22336
646	40822	22272
647	40880	22206
648	40940	22142
649	40998	22075
650	41057	22011
651	41122	21948
652	41184	21885
653	41246	21821
654	41304	21756
655	41368	21693
656	41425	21627
657	41506	21573
658	41582	21516
659	41653	21457
660	41722	21397
661	41792	21337
662	41853	21273
663	41915	21210
664	41974	21144
665	42035	21081
666	42098	21017
667	42158	20952
668	42223	20890
669	42283	20826
670	42349	20764
671	42405	20698
672	42465	20633
673	42529	20570
674	42589	20505
675	42648	20440
676	42705	20375
677	42762	20309
678	42819	20243
679	42878	20178
680	42934	20111
681	43007	20053
682	43069	19989
683	43130	19925
684	43191	19861
685	43247	19795
686	43305	19729
687	43365	19665
688	43425	19601
689	43483	19535
690	43544	19472
691	43599	19405
692	43658	19340
693	43716	19275
694	43780	19213
695	43842	19149
696	43926	19095
697	44001	19037
698	44070	18977
699	44146	18919
700	44218	18860
701	44283	18798
702	44343	18733
703	44426	18679
704	44492	18617
705	44558	18555
706	44620	18492
707	44677	18426
708	44734	18360
709	44795	18296
710	44856	18232
711	44911	18166
712	44972	18102
713	45031	18037
714	45093	17974
715	45152	17909
716	45212	17845
717	45268	17779
718	45331	17716
719	45446	17673
720	45559	17629
721	45618	17565
722	45678	17500
723	45738	17436
724	45799	17372
725	45857	17307
726	45917	17242
727	45976	17178
728	46037	17114
729	46097	17049
730	46164	16988
731	46232	16926
732	46313	16870
733	46391	16812
734	46458	16750
735	46528	16689
736	46598	16628
737	46657	16564
738	46715	16498
739	46769	16432
740	46829	16368
741	46894	16305
742	46959	16242
743	47023	16180
744	47085	16116
745	47146	16052
746	47208	15988
747	47264	15923
748	47325	15859
749	47385	15795
750	47451	15732
751	47510	15668
752	47568	15603
753	47623	15537
754	47685	15473
755	47748	15411
756	47806	15345
757	47873	15284
758	47930	15218
759	47990	15154
760	48055	15092
761	48116	15028
762	48176	14964
763	48233	14899
764	48295	14835
765	48352	14770
766	48411	14706
767	48471	14642
768	48528	14577
769	48584	14512
770	48665	14454
771	48741	14395
772	48827	14338
773	48896	14277
774	48969	14216
775	49034	14154
776	49091	14089
777	49156	14026
778	49222	13964
779	49281	13899
780	49339	13835
781	49396	13770
782	49462	13707
783	49522	13643
784	49586	13580
785	49648	13517
786	49709	13453
787	49769	13389
788	49824	13324
789	49882	13259
790	49938	13194
791	50001	13131
792	50061	13067
793	50125	13004
794	50184	12940
795	50242	12876
796	50302	12812
797	50358	12747
798	50414	12682
799	50468	12617
800	50529	12553
801	50585	12488
802	50648	12425
803	50705	12361
804	50768	12298
805	50828	12234
806	50886	12169
807	50945	12105
808	51007	12042
809	51100	11986
810	51178	11926
811	51260	11868
812	51337	11808
813	51416	11748
814	51487	11687
815	51557	11625
816	51632	11565
817	51706	11504
818	51774	11442
819	51836	11378
820	51903	11316
821	51958	11251
822	52016	11187
823	52076	11123
824	52136	11059
825	52195	10995
826	52258	10931
827	52317	10867
828	52375	10803
829	52432	10739
830	52492	10675
831	52550	10611
832	52608	10546
833	52670	10483
834	52727	10419
835	52789	10355
836	52850	10292
837	52912	10228
838	52973	10165
839	53031	10101
840	53091	10037
841	53149	9973
842	53211	9910
843	53271	9846
844	53325	9781
845	53382	9717
846	53438	9653
847	53499	9589
848	53582	9530
849	53659	9469
850	53728	9407
851	53808	9347
852	53875	9284
853	53936	9220
854	53993	9156
855	54055	9093
856	54124	9031
857	54188	8968
858	54245	8904
859	54304	8840
860	54360	8775
861	54424	8712
862	54485	8649
863	54544	8585
864	54611	8523
865	54667	8458
866	54728	8395
867	54786	8331
868	54843	8267
869	54907	8204
870	54966	8140
871	55028	8077
872	55088	8014
873	55147	7950
874	55207	7886
875	55264	7822
876	55327	7759
877	55384	7695
878	55443	7632
879	55501	7568
880	55562	7505
881	55618	7441
882	55679	7377
883	55743	7314
884	55807	7251
885	55868	7188
886	55925	7124
887	56015	7065
888	56094	7003
889	56161	6941
890	56242	6880
891	56314	6818
892	56372	6754
893	56432	6691
894	56492	6627
895	56554	6564
896	56616	6501
897	56671	6437
898	56738	6374
899	56798	6310
900	56859	6247
901	56915	6183
902	56973	6120
903	57034	6056
904	57095	5993
905	57154	5929
906	57211	5866
907	57270	5802
908	57326	5738
909	57391	5676
910	57454	5613
911	57510	5549
912	57572	5486
913	57631	5422
914	57691	5359
915	57753	5296
916	57812	5232
917	57872	5169
918	57931	5106
919	57992	5042
920	58050	4979
921	58107	4915
922	58169	4852
923	58231	4789
924	58293	4726
925	58372	4664
926	58456	4603
927	58535	4541
928	58615	4479
929	58684	4417
930	58746	4353
931	58802	4290
932	58862	4226
933	58921	4163
934	58983	4100
935	59047	4037
936	59108	3974
937	59175	3911
938	59237	3848
939	59297	3784
940	59355	3721
941	59420	3658
942	59480	3595
943	59538	3531
944	59596	3468
945	59656	3405
946	59717	3342
947	59775	3278
948	59837	3215
949	59897	3152
950	59958	3089
951	60020	3026
952	60088	2963
953	60147	2900
954	60204	2836
955	60264	2773
956	60323	2710
957	60380	2647
958	60439	2583
959	60497	2520
960	60556	2457
961	60615	2394
962	60682	2331
963	60771	2269
964	60841	2206
965	60915	2144
966	60987	2081
967	61056	2018
968	61116	1955
969	61177	1892
970	61237	1828
971	61295	1765
972	61354	1702
973	61415	1639
974	61474	1576
975	61539	1513
976	61601	1450
977	61661	1387
978	61723	1323
979	61783	1260
980	61841	1197
981	61900	1134
982	61958	1071
983	62017	1008
984	62079	945
985	62143	882
986	62203	819
987	62269	756
988	62341	693
989	62410	630
990	62487	567
991	62555	504
992	62622	441
993	62686	378
994	62751	315
995	62815	252
996	62883	189
997	62943	126
998	63007	63
999	63093	0
